"","LInkZip","iMISID","ZCTA","NameLnk","NAME","PLACEFP","STATEFP","GISJOIN","SUST_MANAGER","SUST_CEOPLAN","SUST_CITCOMM","SUST_BUDGET","SUST_STAFF","POV_POL_CNT","POV_POL_PER","WAT_POL_PER","WAT_POL_CNT","EM_POL_CNT","EM_POL_PER","USTATE.","USTATE","UPO","UMETRO","STATE_GHG","STATE_WATER","STATE_POV","GEO.id","POV_PERCENT_POP","PER_CAP_INC","COL_DEG_PER","DEM_VOTE_PER","NRDC_COUNT","NRDC_PER_ZIP_POP","NRDC_PER_TOTNRDC","WATER_STRESS_RANKS","WATER_STRESS_TOPN_PER","WATER_STRESS_ABS","TOT_POP"
"1",10007,175002,"10007","36_New York","New York","51000","36","G36051000",0,1,1,1,1,4,0.8,0.6,3,5,1,36,"NY","New York",1,2.35,11,4.64,"8600000US10007","1.9","136747","56.7249898",86.42,46,0.00780719619823489,1e-04,23,0,0.412748668,8363710
"2",10502,175032,"10502","36_Ardsley","Ardsley","02506","36","G36002506",1,0,1,0,0,0,0,0,0,0,0,36,"NY","Ardsley",0,2.35,11,4.64,"8600000US10502","2.2","58060","60.7051465",63.91,40,0.00756286632633768,1e-04,23,0,0.412748668,4840
"3",10543,303453,"10543","36_Mamaroneck","Mamaroneck","44831","36","G36044831",1,0,1,0,0,1,0.2,0.4,2,2,0.4,36,"NY","Mamaroneck",0,2.35,11,4.64,"8600000US10543","4.8","54510","39.7026262",63.91,118,0.00592310009035237,2e-04,23,0,0.412748668,18413
"4",10562,440090,"10562","36_Ossining","Ossining","55530","36","G36055530",0,1,1,1,1,2,0.4,0,0,1,0.2,36,"NY","Ossining",0,2.35,11,4.64,"8600000US10562","15","37087","33.4735782",63.91,149,0.00475309429628684,2e-04,23,0,0.412748668,36788
"5",10562,175086,"10562","36_Ossining","Ossining","55530","36","G36055530",1,0,1,0,1,3,0.6,0.4,2,2,0.4,36,"NY","Ossining",0,2.35,11,4.64,"8600000US10562","15","37087","33.4735782",63.91,149,0.00475309429628684,2e-04,23,0,0.412748668,23798
"6",10566,175090,"10566","36_Peekskill","Peekskill","56979","36","G36056979",1,0,0,0,0,1,0.2,0.2,1,1,0.2,36,"NY","Peekskill",0,2.35,11,4.64,"8600000US10566","14.5","28886","22.7919201",63.91,79,0.00337722298221614,1e-04,23,0,0.412748668,24484
"7",10583,175117,"10583","36_Scarsdale","Scarsdale","65431","36","G36065431",1,0,1,0,0,0,0,0.8,4,1,0.2,36,"NY","Scarsdale",0,2.35,11,4.64,"8600000US10583","2.6","88262","58.3813782",63.91,293,0.00766935399434614,4e-04,23,0,0.412748668,17695
"8",10591,175128,"10591","36_Tarrytown","Tarrytown","73176","36","G36073176",1,0,1,0,0,1,0.2,0.4,2,2,0.4,36,"NY","Tarrytown",0,2.35,11,4.64,"8600000US10591","7.8","45039","40.2937229",63.91,164,0.00727337236118503,2e-04,23,0,0.412748668,11031
"9",10708,175172,"10708","36_Bronxville","Bronxville","08532","36","G36008532",1,0,1,0,0,0,0,0.4,2,0,0,36,"NY","Bronxville",0,2.35,11,4.64,"8600000US10708","5.8","73408","51.393443",63.91,152,0.00713313623351635,2e-04,23,0,0.412748668,6516
"10",10801,175177,"10801","36_New Rochelle","New Rochelle","50617","36","G36050617",1,0,1,0,1,1,0.2,0,0,5,1,36,"NY","New Rochelle",0,2.35,11,4.64,"8600000US10801","16.5","29102","24.0190896",63.91,90,0.00224327018943171,1e-04,23,0,0.412748668,74115
"11",10960,175229,"10960","36_Nyack","Nyack","54100","36","G36054100",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Nyack",0,2.35,11,4.64,"8600000US10960","6.9","44713","42.7203329",52.97,171,0.0112050324356202,3e-04,23,0,0.412748668,3378
"12",11518,175286,"11518","36_East Rockaway","East Rockaway","22876","36","G36022876",0,0,0,1,1,0,0,0,0,0,0,36,"NY","East Rockaway",0,2.35,11,4.64,"8600000US11518","5.6","40772","27.3324587",54.23,36,0.00339302544769086,1e-04,23,0,0.412748668,10438
"13",11563,175311,"11563","36_Lynbrook","Lynbrook","43874","36","G36043874",0,0,0,0,0,1,0.2,0,0,1,0.2,36,"NY","Lynbrook",0,2.35,11,4.64,"8600000US11563","3.3","38673","29.0152048",54.23,89,0.00396383556763016,1e-04,23,0,0.412748668,19852
"14",11751,396806,"11751","36_Islip","Islip","37869","36","G36037869",0,1,1,0,1,1,0.2,0,0,2,0.4,36,"NY","Islip",0,2.35,11,4.64,"8600000US11751","2.4","38721","26.0882391",53.02,66,0.00458556242617939,1e-04,23,0,0.412748668,336292
